equiv_group_id,course_code,relation_type,scope_program_id,notes
LEVEL_ANTH4316_ANTH5316,ANTH 5316,equivalent,,"same title, different level"
LEVEL_BIEN4600_BIEN5600,BIEN 4600,equivalent,,"same title, different level"
LEVEL_BIEN4600_BIEN5600,BIEN 5600,equivalent,,"same title, different level"
LEVEL_BIOL4102_BIOL5102,BIOL 4102,equivalent,,"same title, different level"
LEVEL_BIOL4102_BIOL5102,BIOL 5102,equivalent,,"same title, different level"
LEVEL_BIOL4201_BIOL5201,BIOL 4201,equivalent,,"same title, different level"
LEVEL_BIOL4201_BIOL5201,BIOL 5201,equivalent,,"same title, different level"
LEVEL_BIOL4403_BIOL5403,BIOL 4403,equivalent,,"same title, different level"
LEVEL_BIOL4403_BIOL5403,BIOL 5403,equivalent,,"same title, different level"
LEVEL_BIOL4410_BIOL5410,BIOL 4410,equivalent,,"same title, different level"
LEVEL_BIOL4410_BIOL5410,BIOL 5410,equivalent,,"same title, different level"
LEVEL_BIOL4501_BIOL5501,BIOL 4501,equivalent,,"same title, different level"
LEVEL_BIOL4501_BIOL5501,BIOL 5501,equivalent,,"same title, different level"
LEVEL_BIOL4802_BIOL5802,BIOL 4802,equivalent,,"same title, different level"
LEVEL_BIOL4802_BIOL5802,BIOL 5802,equivalent,,"same title, different level"
LEVEL_BISC4010_BISC5010,BISC 4010,equivalent,,"same title, different level"
LEVEL_BISC4010_BISC5010,BISC 5010,equivalent,,"same title, different level"
LEVEL_BISC4140_BISC5140,BISC 4140,equivalent,,"same title, different level"
LEVEL_BISC4140_BISC5140,BISC 5140,equivalent,,"same title, different level"
LEVEL_BISC4150_BISC7150,BISC 4150,equivalent,,"same title, different level"
LEVEL_BISC4150_BISC7150,BISC 7150,equivalent,,"same title, different level"
LEVEL_BISC4153_BISC7153,BISC 4153,equivalent,,"same title, different level"
LEVEL_BISC4153_BISC7153,BISC 7153,equivalent,,"same title, different level"
LEVEL_BISC4155_BISC5155,BISC 4155,equivalent,,"same title, different level"
LEVEL_BISC4155_BISC5155,BISC 5155,equivalent,,"same title, different level"
LEVEL_BISC4157_BISC7157,BISC 4157,equivalent,,"same title, different level"
LEVEL_BISC4157_BISC7157,BISC 7157,equivalent,,"same title, different level"
LEVEL_BISC4160_BISC5160,BISC 4160,equivalent,,"same title, different level"
LEVEL_BISC4160_BISC5160,BISC 5160,equivalent,,"same title, different level"
LEVEL_BISC4170_BISC5170,BISC 4170,equivalent,,"same title, different level"
LEVEL_BISC4170_BISC5170,BISC 5170,equivalent,,"same title, different level"
LEVEL_BISC4325_BISC5325,BISC 4325,equivalent,,"same title, different level"
LEVEL_BISC4325_BISC5325,BISC 5325,equivalent,,"same title, different level"
LEVEL_BISC4340_BISC5340,BISC 4340,equivalent,,"same title, different level"
LEVEL_BISC4340_BISC5340,BISC 5340,equivalent,,"same title, different level"
LEVEL_BISC4850_BISC5850,BISC 4850,equivalent,,"same title, different level"
LEVEL_BISC4850_BISC5850,BISC 5850,equivalent,,"same title, different level"
LEVEL_CEEN4515_CEEN5515,CEEN 4515,equivalent,,"same title, different level"
LEVEL_CEEN4515_CEEN5515,CEEN 5515,equivalent,,"same title, different level"
LEVEL_CHEM4530_CHEM5530,CHEM 4530,equivalent,,"same title, different level"
LEVEL_CHEM4530_CHEM5530,CHEM 5530,equivalent,,"same title, different level"
LEVEL_CMST4120_CMST5120,CMST 4120,equivalent,,"same title, different level"
LEVEL_CMST4120_CMST5120,CMST 5120,equivalent,,"same title, different level"
LEVEL_CMST4140_CMST5140,CMST 4140,equivalent,,"same title, different level"
LEVEL_CMST4140_CMST5140,CMST 5140,equivalent,,"same title, different level"
LEVEL_CMST3200_CMST6200,CMST 3200,equivalent,,"same title, different level"
LEVEL_CMST3200_CMST6200,CMST 6200,equivalent,,"same title, different level"
LEVEL_CMST4250_CMST5250,CMST 4250,equivalent,,"same title, different level"
