parent_bucket_id,child_bucket_id,course_code,notes
HURE_LEAD_TRACK,buslead-choose-1,HURE 4010,
HURE_MAJOR,hure-choose-3,HURE 4010,
HURE_LEAD_TRACK,buslead-req-core,HURE 4030,
HURE_MAJOR,hure-req-core,HURE 4030,
BCC_CORE,BCC_ANALYTICS,HURE 4060,
BUAN_MAJOR,buan-choose-1,HURE 4060,
HURE_LEAD_TRACK,buslead-choose-1,HURE 4060,
HURE_MAJOR,hure-choose-3,HURE 4060,
HURE_LEAD_TRACK,buslead-req-core,HURE 4080,
HURE_MAJOR,hure-req-core,HURE 4080,
AIM_MAJOR,aim-choose-1,HURE 4101,
HURE_LEAD_TRACK,buslead-choose-1,HURE 4101,
HURE_MAJOR,hure-choose-3,HURE 4101,
HURE_MAJOR,hure-choose-3,HURE 4140,
INBU_MAJOR,inbu-functional-choose-3,HURE 4140,
HURE_MAJOR,hure-choose-3,HURE 4931,
INBU_MAJOR,inbu-functional-choose-3,INBU 4931,
INBU_MAJOR,inbu-exp-global-1,INBU 4953,
INBU_MAJOR,inbu-exp-global-1,INBU 4986,
INBU_MAJOR,inbu-exp-global-1,INBU 4989,
AIM_CFA_TRACK,aim-cfa-intl-choose-1,INBUI 4931,
CB_TRACK,commbank-choose-1,INBUI 4931,
INBU_MAJOR,inbu-exp-global-1,INBUI 4931,
INBU_MAJOR,inbu-study-abroad-1,INBUI 4931,
MCC_FOUNDATION,MCC_ESSV1,INGS 1001,
MCC_FOUNDATION,MCC_ESSV1,INPS 2010,
BCC_CORE,BCC_REQUIRED,INSY 3001,
INSY_MAJOR,insy-req-core,INSY 3001,
CB_TRACK,commbank-choose-2,INSY 4051,
INSY_MAJOR,insy-req-core,INSY 4051,
BCC_CORE,BCC_ANALYTICS,INSY 4052,
BUAN_MAJOR,buan-req-core,INSY 4052,
INSY_MAJOR,insy-req-core,INSY 4052,
AIM_MAJOR,aim-choose-1,INSY 4053,
CB_TRACK,commbank-choose-2,INSY 4053,
INSY_MAJOR,insy-choose-2,INSY 4053,
OSCM_MAJOR,oscm-choose-1,INSY 4053,
AIM_MAJOR,aim-choose-1,INSY 4054,
BUAN_MAJOR,buan-adv,INSY 4054,
INSY_MAJOR,insy-choose-2,INSY 4054,
INSY_MAJOR,insy-choose-2,INSY 4055,
INSY_MAJOR,insy-choose-2,INSY 4056,
INSY_MAJOR,insy-choose-2,INSY 4156,
INSY_MAJOR,insy-req-core,INSY 4158,
INSY_MAJOR,insy-choose-2,INSY 4931,
INBU_MAJOR,inbu-exp-global-1,ITAL 3200,
BCC_CORE,BCC_REQUIRED,LEAD 1050,
BCC_CORE,BCC_REQUIRED,LEAD 2000,
BCC_CORE,BCC_REQUIRED,LEAD 3000,
MCC_FOUNDATION,MCC_ESSV1,LLAC 1020,
BADM_MAJOR,badm-req-core,MANA 3001,
BCC_CORE,BCC_REQUIRED,MANA 3001,
BCC_CORE,BCC_ETHICS,MANA 3002,
HURE_LEAD_TRACK,buslead-choose-1,MANA 3002,
AIM_MAJOR,aim-choose-1,MANA 3034,
HURE_LEAD_TRACK,buslead-choose-2,MANA 3034,
HURE_MAJOR,hure-choose-3,MANA 3034,
OSCM_MAJOR,oscm-choose-1,MANA 3034,
AIM_MAJOR,aim-choose-1,MANA 3035,
HURE_LEAD_TRACK,buslead-choose-2,MANA 3035,
HURE_MAJOR,hure-choose-3,MANA 3035,
HURE_LEAD_TRACK,buslead-choose-2,MANA 4010,
HURE_MAJOR,hure-choose-3,MANA 4010,
INBU_MAJOR,inbu-functional-choose-3,MANA 4040,
INBU_MAJOR,inbu-functional-choose-3,MANA 4045,
BCC_CORE,BCC_REQUIRED,MANA 4101,
BCC_CORE,BCC_REQUIRED,MARK 3001,
MARK_MAJOR,mark-req-core,MARK 3001,
MARK_PRSL_TRACK,prsl-req-core,MARK 3001,
MARK_MAJOR,mark-choose-3,MARK 4005,
MARK_MAJOR,mark-choose-3,MARK 4010,
MARK_MAJOR,mark-choose-3,MARK 4020,
MARK_MAJOR,mark-choose-3,MARK 4030,
MARK_PRSL_TRACK,prsl-choose-2,MARK 4030,
CB_TRACK,commbank-choose-1,MARK 4040,
INBU_MAJOR,inbu-functional-choose-3,MARK 4040,
MARK_MAJOR,mark-choose-3,MARK 4040,
MARK_MAJOR,mark-choose-3,MARK 4050,
BCC_CORE,BCC_ANALYTICS,MARK 4060,
MARK_MAJOR,mark-req-core,MARK 4060,
