parent_bucket_id,child_bucket_id,course_code,notes
MCC_WRIT,MCC_WRIT,HIST 4955,
MCC_WRIT,MCC_WRIT,INCG 4997,
MCC_WRIT,MCC_WRIT,JOUR 4150,
MCC_WRIT,MCC_WRIT,MANA 3002,
MCC_WRIT,MCC_WRIT,MLSC 4180,
MCC_WRIT,MCC_WRIT,NURS 4000,
MCC_WRIT,MCC_WRIT,PHIL 3505,
MCC_WRIT,MCC_WRIT,PHIL 3610,
MCC_WRIT,MCC_WRIT,PHIL 4540,
MCC_WRIT,MCC_WRIT,PHIL 4954,
MCC_WRIT,MCC_WRIT,POSC 3101,
MCC_WRIT,MCC_WRIT,POSC 4217,
MCC_WRIT,MCC_WRIT,PURE 3600,
MCC_WRIT,MCC_WRIT,SOCI 3050,
MCC_WRIT,MCC_WRIT,SPAN 3005,
MCC_WRIT,MCC_WRIT,SPAN 3500,
MCC_WRIT,MCC_WRIT,SPAN 3505,
MCC_WRIT,MCC_WRIT,SPAN 4700,
MCC_WRIT,MCC_WRIT,THAR 4600,
MCC_WRIT,MCC_WRIT,THEO 3130,
MCC_WRIT,MCC_WRIT,THEO 3280,
MCC_WRIT,MCC_WRIT,THEO 3530,
MCC_WRIT,MCC_WRIT,THEO 4210,
