id,course_1,course_2,course_3,type,parent_bucket,child_bucket
135,HIST 4135,HIST 5135,,grad,,
136,HIST 4140,HIST 5140,,grad,,
137,HIST 4145,HIST 5145,,grad,,
138,HIST 4150,HIST 5150,,grad,,
139,HIST 4155,HIST 5155,,grad,,
140,HIST 4156,HIST 5156,,grad,,
141,HIST 4210,HIST 5210,,grad,,
142,HIST 4212,HIST 5212,,grad,,
143,HIST 4245,HIST 5245,,grad,,
144,HIST 4251,HIST 5251,,grad,,
145,HIST 4252,HIST 5252,,grad,,
146,HIST 4255,HIST 5255,,grad,,
147,HIST 4260,HIST 5260,,grad,,
148,HIST 4262,HIST 5262,,grad,,
149,HIST 4264,HIST 5264,,grad,,
150,HIST 4266,HIST 5266,,grad,,
151,HIST 4271,HIST 5271,,grad,,
152,HIST 4298,HIST 5298,,grad,,
153,HIST 4310,HIST 5310,,grad,,
154,HIST 4350,HIST 5350,,grad,,
155,HIST 4450,HIST 5450,,grad,,
156,HIST 4460,HIST 5460,,grad,,
157,HIST 4500,HIST 5500,,grad,,
158,HIST 4555,HIST 5555,,grad,,
159,HIST 4705,HIST 5705,,grad,,
160,HIST 4747,HIST 5747,,grad,,
161,HURE 4003,HURE 5003,,grad,,
162,HURE 4010,HURE 5010,,grad,,
163,HURE 4080,HURE 5080,,grad,,
164,HURE 4140,HURE 5140,,grad,,
165,HURE 4931,HURE 5931,,grad,,
166,INBU 4931,INBU 5931,INBU 6931,grad,,
167,INBU 4953,INBU 6953,,grad,,
168,INBUI 4931,INBUI 6931,,grad,,
169,INSY 4054,INSY 5054,,grad,,
170,INSY 4056,INSY 5056,,grad,,
171,INSY 4156,INSY 5156,INSY 6156,grad,,
172,INSY 4158,INSY 6158,,grad,,
173,INSY 4931,INSY 5931,INSY 6931,grad,,
174,JOUR 3986,JOUR 4986,,grad,,
175,MARK 4065,MARK 5065,,grad,,
176,MARK 4085,MARK 6085,,grad,,
177,MARK 4931,MARK 5931,MARK 6931,grad,,
178,MLSC 4127,MLSC 7127,,grad,,
179,MLSC 4180,MLSC 7180,,grad,,
