course_code,soft_prereq,catalog_prereq_raw,soft_prereq_major_restriction,soft_prereq_instructor_consent,soft_prereq_admitted_program,soft_prereq_college_restriction,soft_prereq_program_progress_requirement,soft_prereq_standing_requirement,soft_prereq_placement_required,soft_prereq_minimum_grade,soft_prereq_minimum_gpa,soft_prereq_may_be_concurrent,soft_prereq_other_requirements,soft_prereq_complex_hard_prereq,notes
CEEN 3320,major_restriction;standing_requirement,"Soph. stndg. and CIEN, ENEN or CNEN major.","Soph. stndg. and CIEN, ENEN or CNEN major",,,,,"Soph. stndg. and CIEN, ENEN or CNEN major",,,,,,,"Soph. stndg. and CIEN, ENEN or CNEN major."
CEEN 3410,,GEEN 2130.,,,,,,,,,,,,,
CEEN 3430,,CEEN 3320 and CEEN 3410.,,,,,,,,,,,,,
CEEN 3440,,CEEN 3410 and CEEN 3320.,,,,,,,,,,,,,
CEEN 3510,major_restriction;standing_requirement,"Jr. stndg. and CIEN, ENEN or CNEN major.","Jr. stndg. and CIEN, ENEN or CNEN major",,,,,"Jr. stndg. and CIEN, ENEN or CNEN major",,,,,,,"Jr. stndg. and CIEN, ENEN or CNEN major."
CEEN 3610,major_restriction;standing_requirement,"Jr. stndg. and CIEN, ENEN or CNEN major.","Jr. stndg. and CIEN, ENEN or CNEN major",,,,,"Jr. stndg. and CIEN, ENEN or CNEN major",,,,,,,"Jr. stndg. and CIEN, ENEN or CNEN major."
CEEN 4145,,GEEN 2130.,,,,,,,,,,,,,
CEEN 4230,,CEEN 3510 or MEEN 3320.,,,,,,,,,,,,,
CEEN 4310,major_restriction;standing_requirement,"Sr. stndg. and CIEN, ENEN or CEMA major.","Sr. stndg. and CIEN, ENEN or CEMA major",,,,,"Sr. stndg. and CIEN, ENEN or CEMA major",,,,,,,"Sr. stndg. and CIEN, ENEN or CEMA major."
CEEN 4340,major_restriction;standing_requirement,"Sr. stndg. and CIEN, ENEN or CNEN major.","Sr. stndg. and CIEN, ENEN or CNEN major",,,,,"Sr. stndg. and CIEN, ENEN or CNEN major",,,,,,,"Sr. stndg. and CIEN, ENEN or CNEN major."
CEEN 4350,major_restriction;standing_requirement,Sr standing and CIEN major or ENEN major; or Jr standing and CNEN major.,Sr standing and CIEN major or ENEN major; or Jr standing and CNEN major,,,,,Sr standing and CIEN major or ENEN major; or Jr standing and CNEN major,,,,,,,Sr standing and CIEN major or ENEN major; or Jr standing and CNEN major.
CEEN 4411,,CEEN 3410.,,,,,,,,,,,,,
CEEN 4431,,CEEN 3430.,,,,,,,,,,,,,
CEEN 4441,,CEEN 3440.,,,,,,,,,,,,,
CEEN 4443,other_requirements,CEEN 3440 or equiv.,,,,,,,,,,,CEEN 3440 or equiv,,
CEEN 4450,,CEEN 3430 and CEEN 3440.,,,,,,,,,,,,,
CEEN 4505,,,,,,,,,,,,,,,
CEEN 4515,,CEEN 3510 and CHEM 1002.,,,,,,,,,,,,,
CEEN 4520,,CEEN 3510.,,,,,,,,,,,,,
CEEN 4525,,CEEN 3510.,,,,,,,,,,,,,
CEEN 4530,major_restriction;standing_requirement,Sr. stndg.; CIEN or ENEN major.,CIEN or ENEN major,,,,,Sr. stndg,,,,,,,Sr. stndg.; CIEN or ENEN major.
CEEN 4535,,CEEN 3510.,,,,,,,,,,,,,
CEEN 4550,,,,,,,,,,,,,,,
CEEN 4595,,,,,,,,,,,,,,,
CEEN 4615,,CEEN 3610.,,,,,,,,,,,,,
CEEN 4640,,CEEN 3610.,,,,,,,,,,,,,
CEEN 4650,,CEEN 3160 and CEEN 3610.,,,,,,,,,,,,,
CEEN 4660,,CEEN 3610.,,,,,,,,,,,,,
CEEN 4670,,CEEN 3320 and CEEN 3160.,,,,,,,,,,,,,
CEEN 4710,major_restriction;standing_requirement,Sr. stndg. and CIEN or ENEN major.,Sr. stndg. and CIEN or ENEN major,,,,,Sr. stndg. and CIEN or ENEN major,,,,,,,Sr. stndg. and CIEN or ENEN major.
CEEN 4715,college_restriction;standing_requirement,Sr. stndg. in College of Engineering.,,,,Sr. stndg. in College of Engineering,,Sr. stndg. in College of Engineering,,,,,,,Sr. stndg. in College of Engineering.
CEEN 4720,standing_requirement,Sr. stndg. and Engineering major.,,,,,,Sr. stndg. and Engineering major,,,,,,,Sr. stndg. and Engineering major.
CEEN 4850,,CEEN 3440.,,,,,,,,,,,,,
CEEN 4931,instructor_consent,Cons. of instr. Consent required.,,Cons. of instr; Consent required,,,,,,,,,,,Cons. of instr. Consent required.
CEEN 4953,,,,,,,,,,,,,,,
CEEN 4995,instructor_consent;standing_requirement;minimum_gpa,"Jr. stndg., 3.000 GPA, cons. of instr., and cons. of dept. ch. Consent required.",,"Jr. stndg., 3.000 GPA, cons. of instr., and cons. of dept. ch; Consent required",,,,"Jr. stndg., 3.000 GPA, cons. of instr., and cons. of dept. ch",,,"Jr. stndg., 3.000 GPA, cons. of instr., and cons. of dept. ch",,,,"Jr. stndg., 3.000 GPA, cons. of instr., and cons. of dept. ch. Consent required."
CEEN 4998,major_restriction,"CEEN 3510 and a Civil Engineering Design Elective for CIEN and ENEN majors. CNEN 3810, CNEN 4830, and CNEN 4845 for CNEN majors.","CEEN 3510 and a Civil Engineering Design Elective for CIEN and ENEN majors; CNEN 3810, CNEN 4830, and CNEN 4845 for CNEN majors",,,,,,,,,,,,"CEEN 3510 and a Civil Engineering Design Elective for CIEN and ENEN majors. CNEN 3810, CNEN 4830, and CNEN 4845 for CNEN majors."
CEEN 5145,,,,,,,,,,,,,,,
CEEN 5230,,,,,,,,,,,,,,,
CEEN 5310,,,,,,,,,,,,,,,
CEEN 5340,,,,,,,,,,,,,,,
CEEN 5350,,,,,,,,,,,,,,,
CEEN 5411,,,,,,,,,,,,,,,
CEEN 5431,,,,,,,,,,,,,,,
CEEN 5441,other_requirements,Prior course work in reinforced concrete design.,,,,,,,,,,,Prior course work in reinforced concrete design,,
CEEN 5443,,,,,,,,,,,,,,,
CEEN 5450,,,,,,,,,,,,,,,
CEEN 5505,,,,,,,,,,,,,,,
CEEN 5515,,,,,,,,,,,,,,,
CEEN 5520,,,,,,,,,,,,,,,
CEEN 5525,,,,,,,,,,,,,,,
CEEN 5530,,,,,,,,,,,,,,,
CEEN 5535,,,,,,,,,,,,,,,
CEEN 5550,,,,,,,,,,,,,,,
CEEN 5595,,,,,,,,,,,,,,,
CEEN 5615,,,,,,,,,,,,,,,
CEEN 5640,,,,,,,,,,,,,,,
CEEN 5650,other_requirements;complex_hard_prereq,CEEN 3160 and CEEN 3610; or equiv.,,,,,,,,,,,or equiv,CEEN 3160 and CEEN 3610; or equiv.,CEEN 3160 and CEEN 3610; or equiv.
CEEN 5660,other_requirements,CEEN 3610 or equiv.,,,,,,,,,,,CEEN 3610 or equiv,,
CEEN 5670,,,,,,,,,,,,,,,
CEEN 5715,,,,,,,,,,,,,,,
CEEN 5720,,,,,,,,,,,,,,,
CEEN 5815,,,,,,,,,,,,,,,
CEEN 5830,,,,,,,,,,,,,,,
CEEN 5840,,,,,,,,,,,,,,,
CEEN 5845,,,,,,,,,,,,,,,
CEEN 5850,,,,,,,,,,,,,,,
CEEN 5931,instructor_consent,Cons. of instr. Consent required.,,Cons. of instr; Consent required,,,,,,,,,,,Cons. of instr. Consent required.
CEEN 6110,,,,,,,,,,,,,,,
CEEN 6120,,,,,,,,,,,,,,,
CEEN 6121,other_requirements,CEEN 6120 or equiv.,,,,,,,,,,,CEEN 6120 or equiv,,
CEEN 6210,,,,,,,,,,,,,,,
CEEN 6340,,,,,,,,,,,,,,,
CEEN 6350,,,,,,,,,,,,,,,
CEEN 6410,,,,,,,,,,,,,,,
CEEN 6420,,CEEN 5411.,,,,,,,,,,,,,
CEEN 6425,instructor_consent,"CEEN 3430, CEEN 3440, CEEN 5411, CEEN 6435. Consent required.",,Consent required,,,,,,,,,,,"CEEN 3430, CEEN 3440, CEEN 5411, CEEN 6435. Consent required."
CEEN 6435,,,,,,,,,,,,,,,
CEEN 6445,,,,,,,,,,,,,,,
CEEN 6460,other_requirements,"Requires basic knowledge of probability and statistics, descriptions of random variables, probability distributions, functions of random variables, estimation of model parameters, model selection and verification, covered by MSCS 6010 or equivalent; EECE 6020, CEEN 4320/5320, MATH 4700/5700, 4710/5710, 4720/5720; linear algebra, systems of equations, matrix operations, transformations; calculus and differential equations, differentiation, integration, ordinary and partial differential equations. Knowledge of basic Matlab programming helpful.",,,,,,,,,,,"linear algebra, systems of equations, matrix operations, transformations; calculus and differential equations, differentiation, integration, ordinary and partial differential equations; Knowledge of basic Matlab programming helpful",,
CEEN 6470,other_requirements,"Requires basic knowledge of probability and statistics, equivalent to MATH 4700/5700, 4710/5710, 4720/5720, or CEEN 4320. Knowledge of basic Matlab programming helpful.",,,,,,,,,,,Knowledge of basic Matlab programming helpful,,
CEEN 6510,other_requirements,CEEN 5525 or equiv.,,,,,,,,,,,CEEN 5525 or equiv,,
CEEN 6520,,CEEN 3510 and CEEN 5515.,,,,,,,,,,,,,
CEEN 6521,,CEEN 5525 and CEEN 6520.,,,,,,,,,,,,,
CEEN 6540,,CEEN 5515 and CEEN 5525.,,,,,,,,,,,,,
CEEN 6560,,,,,,,,,,,,,,,
CEEN 6610,,,,,,,,,,,,,,,
CEEN 6620,,,,,,,,,,,,,,,
CEEN 6635,,,,,,,,,,,,,,,
CEEN 6650,,,,,,,,,,,,,,,
CEEN 6655,other_requirements,CEEN 3320 and CEEN 3160 or equiv.,,,,,,,,,,,CEEN 3320 and CEEN 3160 or equiv,,
CEEN 6660,other_requirements;complex_hard_prereq,CEEN 3160 and CEEN 3610; or equiv.,,,,,,,,,,,or equiv,CEEN 3160 and CEEN 3610; or equiv.,CEEN 3160 and CEEN 3610; or equiv.
CEEN 6675,,,,,,,,,,,,,,,
CEEN 6840,,,,,,,,,,,,,,,
CEEN 6850,,,,,,,,,,,,,,,
CEEN 6865,,,,,,,,,,,,,,,
CEEN 6932,,,,,,,,,,,,,,,
CEEN 6953,,,,,,,,,,,,,,,
CEEN 6995,instructor_consent,Cons. of instr. and cons. of dept. ch. Consent required.,,Cons. of instr. and cons. of dept. ch; Consent required,,,,,,,,,,,Cons. of instr. and cons. of dept. ch. Consent required.
CEEN 6999,instructor_consent,Cons. of dept. ch. Consent required.,,Cons. of dept. ch; Consent required,,,,,,,,,,,Cons. of dept. ch. Consent required.
CEEN 8097,admitted_program,Enrolled in the CIEN Ph.D. program.,,,Enrolled in the CIEN Ph.D. program,,,,,,,,,,Enrolled in the CIEN Ph.D. program.
CEEN 8098,admitted_program,Enrolled in the CIEN Ph.D. program.,,,Enrolled in the CIEN Ph.D. program,,,,,,,,,,Enrolled in the CIEN Ph.D. program.
CEEN 8953,,,,,,,,,,,,,,,
CEEN 8995,,,,,,,,,,,,,,,
CEEN 8999,instructor_consent,Cons. of dept. ch. Consent required.,,Cons. of dept. ch; Consent required,,,,,,,,,,,Cons. of dept. ch. Consent required.
CEEN 9970,instructor_consent,Consent required.,,Consent required,,,,,,,,,,,Consent required.
CEEN 9974,instructor_consent,Consent required.,,Consent required,,,,,,,,,,,Consent required.
CEEN 9975,instructor_consent,Consent required.,,Consent required,,,,,,,,,,,Consent required.
CEEN 9976,instructor_consent,Consent required.,,Consent required,,,,,,,,,,,Consent required.
CEEN 9984,instructor_consent,Consent required.,,Consent required,,,,,,,,,,,Consent required.
CEEN 9985,instructor_consent,Consent required.,,Consent required,,,,,,,,,,,Consent required.
CEEN 9986,instructor_consent,Consent required.,,Consent required,,,,,,,,,,,Consent required.
CEEN 9987,instructor_consent,Consent required.,,Consent required,,,,,,,,,,,Consent required.
CEEN 9988,instructor_consent,Consent required.,,Consent required,,,,,,,,,,,Consent required.
CEEN 9989,instructor_consent,Consent required.,,Consent required,,,,,,,,,,,Consent required.
CEEN 9994,instructor_consent,Consent required.,,Consent required,,,,,,,,,,,Consent required.
CEEN 9995,instructor_consent,Consent required.,,Consent required,,,,,,,,,,,Consent required.
CEEN 9996,instructor_consent,Consent required.,,Consent required,,,,,,,,,,,Consent required.
CEEN 9997,instructor_consent,Consent required.,,Consent required,,,,,,,,,,,Consent required.
CEEN 9998,instructor_consent,Consent required.,,Consent required,,,,,,,,,,,Consent required.
CEEN 9999,instructor_consent,Consent required.,,Consent required,,,,,,,,,,,Consent required.
CHEM 1000,instructor_consent;minimum_grade;other_requirements,Cons. of dept.; previous or subsequent enrollment in CHEM 1001; students who have completed CHEM 1001 with a grade of C or better are not eligible to enroll in CHEM 1000. Consent required.,,Cons. of dept; Consent required,,,,,,students who have completed CHEM 1001 with a grade of C or better are not eligible to enroll in CHEM 1000,,,previous or subsequent enrollment in CHEM 1001,,Cons. of dept.; previous or subsequent enrollment in CHEM 1001; students who have completed CHEM 1001 with a grade of C or better are not eligible to enroll in CHEM 1000. Consent required.
CHEM 1001,,,,,,,,,,,,,,,
CHEM 1001H,admitted_program,Admission to Marquette University Honors Program.,,,Admission to Marquette University Honors Program,,,,,,,,,,Admission to Marquette University Honors Program.
CHEM 1002,,CHEM 1001 or 1013.,,,,,,,,,,,,,
CHEM 1002H,admitted_program,CHEM 1001 or CHEM 1001H and admission to Marquette University Honors Program.,,,CHEM 1001 or CHEM 1001H and admission to Marquette University Honors Program,,,,,,,,,,CHEM 1001 or CHEM 1001H and admission to Marquette University Honors Program.
CHEM 1013,,,,,,,,,,,,,,,
CHEM 1013H,admitted_program,Admission to Marquette University Honors Program.,,,Admission to Marquette University Honors Program,,,,,,,,,,Admission to Marquette University Honors Program.
CHEM 1014,,CHEM 1001 or CHEM 1013.,,,,,,,,,,,,,
CHEM 1014H,admitted_program,CHEM 1001 or CHEM 1001H or CHEM 1013H and admission to Marquette University Honors Program.,,,CHEM 1001 or CHEM 1001H or CHEM 1013H and admission to Marquette University Honors Program,,,,,,,,,,CHEM 1001 or CHEM 1001H or CHEM 1013H and admission to Marquette University Honors Program.
CHEM 1021,instructor_consent,Cons. of dept. ch. Consent required.,,Cons. of dept. ch; Consent required,,,,,,,,,,,Cons. of dept. ch. Consent required.
CHEM 1022,instructor_consent,Cons. of dept. ch. Consent required.,,Cons. of dept. ch; Consent required,,,,,,,,,,,Cons. of dept. ch. Consent required.
CHEM 1031,instructor_consent,Cons. of dept. ch. Consent required.,,Cons. of dept. ch; Consent required,,,,,,,,,,,Cons. of dept. ch. Consent required.
CHEM 1032,instructor_consent,Cons. of dept. ch. Consent required.,,Cons. of dept. ch; Consent required,,,,,,,,,,,Cons. of dept. ch. Consent required.
CHEM 1080,,,,,,,,,,,,,,,
CHEM 2111,,CHEM 1002 or CHEM 1014.,,,,,,,,,,,,,
CHEM 2112,,CHEM 2111 or CHEM 2113.,,,,,,,,,,,,,
CHEM 2113,,CHEM 1002 or CHEM 1014.,,,,,,,,,,,,,
CHEM 2114,,CHEM 2111 or CHEM 2113.,,,,,,,,,,,,,
CHEM 2121,instructor_consent,Cons. of dept. ch. Consent required.,,Cons. of dept. ch; Consent required,,,,,,,,,,,Cons. of dept. ch. Consent required.
CHEM 2122,instructor_consent,Cons. of dept. ch. Consent required.,,Cons. of dept. ch; Consent required,,,,,,,,,,,Cons. of dept. ch. Consent required.
CHEM 2131,instructor_consent,Cons. of dept. ch. Consent required.,,Cons. of dept. ch; Consent required,,,,,,,,,,,Cons. of dept. ch. Consent required.
CHEM 2132,instructor_consent,Cons. of dept. ch. Consent required.,,Cons. of dept. ch; Consent required,,,,,,,,,,,Cons. of dept. ch. Consent required.
CHEM 3120,instructor_consent,Cons. of dept. ch. Consent required.,,Cons. of dept. ch; Consent required,,,,,,,,,,,Cons. of dept. ch. Consent required.
CHEM 3130,instructor_consent,Cons. of dept. ch. Consent required.,,Cons. of dept. ch; Consent required,,,,,,,,,,,Cons. of dept. ch. Consent required.
CHEM 3201,,CHEM 1002 or CHEM 1014.,,,,,,,,,,,,,
CHEM 3210,,"CHEM 3201, CHEM 4433 or 4431, and PHYS 1002 or PHYS 1004 or PHYS 1014.",,,,,,,,,,,,,
CHEM 3320,may_be_concurrent,"CHEM 4330, which must be taken concurrently, and CHEM 4431 or 4433 or 4434.",,,,,,,,,,"CHEM 4330, which must be taken concurrently, and CHEM 4431 or 4433 or 4434",,,"CHEM 4330, which must be taken concurrently, and CHEM 4431 or 4433 or 4434."
CHEM 3420,may_be_concurrent,"CHEM 4433 and CHEM 4434, which must be taken concurrently.",,,,,,,,,,"CHEM 4433 and CHEM 4434, which must be taken concurrently",,,"CHEM 4433 and CHEM 4434, which must be taken concurrently."
CHEM 3931,,CHEM 1002 or CHEM 1014.,,,,,,,,,,,,,
CHEM 3954,,CHEM 2112 or CHEM 2114.,,,,,,,,,,,,,
CHEM 4130,,CHEM 4431 or CHEM 4433 or CHEM 4434.,,,,,,,,,,,,,
CHEM 4230,may_be_concurrent,"CHEM 3201, which may be taken concurrently.",,,,,,,,,,"CHEM 3201, which may be taken concurrently",,,"CHEM 3201, which may be taken concurrently."
CHEM 4330,,CHEM 4431 or CHEM 4433 or CHEM 4434.,,,,,,,,,,,,,
CHEM 4430,,CHEM 4434.,,,,,,,,,,,,,
CHEM 4431,,"CHEM 1002 or CHEM 1014; and MATH 1410 or MATH 1450; and PHYS 1002 or PHYS 1004 or PHYS 1014, which maybe taken concurrently.",,,,,,,,,,"and PHYS 1002 or PHYS 1004 or PHYS 1014, which maybe taken concurrently",,,
CHEM 4433,,"CHEM 2114, MATH 1451, and PHYS 1002 or PHYS 1004 or PHYS 1014.",,,,,,,,,,,,,
CHEM 4434,,CHEM 4433.,,,,,,,,,,,,,
CHEM 4530,,CHEM 2111 or CHEM 2113.,,,,,,,,,,,,,
CHEM 4630,,CHEM 2112 and CHEM 4431 or CHEM 4433 or CHEM 4434.,,,,,,,,,,,,,
CHEM 4710,may_be_concurrent,"CHEM 4433, which may be taken concurrently.",,,,,,,,,,"CHEM 4433, which may be taken concurrently",,,"CHEM 4433, which may be taken concurrently."
CHEM 4720,may_be_concurrent,"CHEM 4434, which may be taken concurrently.",,,,,,,,,,"CHEM 4434, which may be taken concurrently",,,"CHEM 4434, which may be taken concurrently."
CHEM 4931,,"CHEM 2112, 2114 or 2114H.",,,,,,,,,,,,,
CHEM 4931H,admitted_program,"CHEM 2112, 2114 or 2114H; admission to the CHEM Disciplinary Honors Program.",,,admission to the CHEM Disciplinary Honors Program,,,,,,,,,,"CHEM 2112, 2114 or 2114H; admission to the CHEM Disciplinary Honors Program."
CHEM 4932,,CHEM 4434.,,,,,,,,,,,,,
CHEM 4953,,CHEM 4434.,,,,,,,,,,,,,
CHEM 4956,instructor_consent,Cons. of instr. Consent required.,,Cons. of instr; Consent required,,,,,,,,,,,Cons. of instr. Consent required.
CHEM 4956H,admitted_program;instructor_consent,Cons. of instr.; admission to the CHEM Disciplinary Honors Program. Consent required.,,Cons. of instr; Consent required,admission to the CHEM Disciplinary Honors Program,,,,,,,,,,Cons. of instr.; admission to the CHEM Disciplinary Honors Program. Consent required.
CHEM 4995,instructor_consent,CHEM 4434 and cons. of dept. ch. Consent required.,,CHEM 4434 and cons. of dept. ch; Consent required,,,,,,,,,,,CHEM 4434 and cons. of dept. ch. Consent required.
CHEM 4999,instructor_consent,CHEM 4434 and cons. of dept. ch. Consent required.,,CHEM 4434 and cons. of dept. ch; Consent required,,,,,,,,,,,CHEM 4434 and cons. of dept. ch. Consent required.
CHEM 5130,,,,,,,,,,,,,,,
CHEM 5230,,,,,,,,,,,,,,,
CHEM 5330,,,,,,,,,,,,,,,
CHEM 5430,,,,,,,,,,,,,,,
CHEM 5431,,,,,,,,,,,,,,,
CHEM 5433,,,,,,,,,,,,,,,
CHEM 5434,,,,,,,,,,,,,,,
CHEM 5530,,,,,,,,,,,,,,,
CHEM 5630,,,,,,,,,,,,,,,
CHEM 5932,,,,,,,,,,,,,,,
CHEM 6101,,,,,,,,,,,,,,,
CHEM 6102,,CHEM 6101.,,,,,,,,,,,,,
CHEM 6103,,CHEM 6101.,,,,,,,,,,,,,
CHEM 6201,,,,,,,,,,,,,,,
CHEM 6202,,,,,,,,,,,,,,,
CHEM 6203,,,,,,,,,,,,,,,
CHEM 6204,,,,,,,,,,,,,,,
CHEM 6301,,,,,,,,,,,,,,,
CHEM 6302,,,,,,,,,,,,,,,
CHEM 6401,,CHEM 5434.,,,,,,,,,,,,,
CHEM 6402,,CHEM 6405.,,,,,,,,,,,,,
CHEM 6403,,,,,,,,,,,,,,,
CHEM 6404,,,,,,,,,,,,,,,
CHEM 6405,,,,,,,,,,,,,,,
CHEM 6406,,,,,,,,,,,,,,,
CHEM 6407,,CHEM 6405.,,,,,,,,,,,,,
CHEM 6931,,,,,,,,,,,,,,,
CHEM 6953,,,,,,,,,,,,,,,
CHEM 6960,,,,,,,,,,,,,,,
CHEM 6995,instructor_consent,Cons. of dept. ch. Consent required.,,Cons. of dept. ch; Consent required,,,,,,,,,,,Cons. of dept. ch. Consent required.
CHEM 6998,instructor_consent,Cons. of dept. ch. Consent required.,,Cons. of dept. ch; Consent required,,,,,,,,,,,Cons. of dept. ch. Consent required.
CHEM 6999,instructor_consent,Cons. of dept. ch. Consent required.,,Cons. of dept. ch; Consent required,,,,,,,,,,,Cons. of dept. ch. Consent required.
CHEM 8953,,,,,,,,,,,,,,,
CHEM 8999,instructor_consent,Cons. of dept. ch. Consent required.,,Cons. of dept. ch; Consent required,,,,,,,,,,,Cons. of dept. ch. Consent required.
CHEM 9503,instructor_consent,Cons. of the Graduate School.,,Cons. of the Graduate School,,,,,,,,,,,Cons. of the Graduate School.
CHEM 9603,instructor_consent,Cons. of the Graduate School.,,Cons. of the Graduate School,,,,,,,,,,,Cons. of the Graduate School.
CHEM 9970,instructor_consent,Consent required.,,Consent required,,,,,,,,,,,Consent required.
CHEM 9974,instructor_consent,Consent required.,,Consent required,,,,,,,,,,,Consent required.
CHEM 9975,instructor_consent,Consent required.,,Consent required,,,,,,,,,,,Consent required.
CHEM 9976,instructor_consent,Consent required.,,Consent required,,,,,,,,,,,Consent required.
CHEM 9994,instructor_consent,Consent required.,,Consent required,,,,,,,,,,,Consent required.
CHEM 9995,instructor_consent,Consent required.,,Consent required,,,,,,,,,,,Consent required.
CHEM 9996,instructor_consent,Consent required.,,Consent required,,,,,,,,,,,Consent required.
CHEM 9997,instructor_consent,Consent required.,,Consent required,,,,,,,,,,,Consent required.
CHEM 9998,instructor_consent,Consent required.,,Consent required,,,,,,,,,,,Consent required.
CHEM 9999,instructor_consent,Consent required.,,Consent required,,,,,,,,,,,Consent required.
CHNS 1001,,,,,,,,,,,,,,,
CHNS 1002,,CHNS 1001.,,,,,,,,,,,,,
CHNS 2001,placement_required,CHNS 1002; or by departmental placement.,,,,,,,or by departmental placement,,,,,,CHNS 1002; or by departmental placement.
CHNS 2002,placement_required,CHNS 2001; or by departmental placement.,,,,,,,or by departmental placement,,,,,,CHNS 2001; or by departmental placement.
CHNS 3200,,,,,,,,,,,,,,,
CHNS 3210,,,,,,,,,,,,,,,
CHNS 3215,,,,,,,,,,,,,,,
CHNS 3225,,,,,,,,,,,,,,,
CHNS 3230,,,,,,,,,,,,,,,
CHNS 3300,instructor_consent,CHNS 2002; or cons. of dept. ch.,,or cons. of dept. ch,,,,,,,,,,,CHNS 2002; or cons. of dept. ch.
CHNS 3700,instructor_consent,CHNS 2002; or cons. of dept. ch.,,or cons. of dept. ch,,,,,,,,,,,CHNS 2002; or cons. of dept. ch.
CHNS 4931,,,,,,,,,,,,,,,
CJAD 6995,instructor_consent,Cons. of dept. ch. and cons. of CJAD dir. Consent required.,,Cons. of dept. ch. and cons. of CJAD dir; Consent required,,,,,,,,,,,Cons. of dept. ch. and cons. of CJAD dir. Consent required.
CLAS 1001,,,,,,,,,,,,,,,
CLAS 3000,,,,,,,,,,,,,,,
CLAS 3005,,,,,,,,,,,,,,,
CLAS 3015,,,,,,,,,,,,,,,
CLAS 3020,,,,,,,,,,,,,,,
CLAS 3025,,,,,,,,,,,,,,,
CLAS 3030,,,,,,,,,,,,,,,
CLAS 3200,,,,,,,,,,,,,,,
CLAS 3205,,,,,,,,,,,,,,,
CLAS 3210,,,,,,,,,,,,,,,
CLAS 3215,,,,,,,,,,,,,,,
CLAS 3220,,,,,,,,,,,,,,,
CLAS 4931,instructor_consent;standing_requirement,"Sr. stndg., or cons. of dept. ch.",,"Sr. stndg., or cons. of dept. ch",,,,"Sr. stndg., or cons. of dept. ch",,,,,,,"Sr. stndg., or cons. of dept. ch."
CLAS 4995,instructor_consent,Cons. of dept. ch. Consent required.,,Cons. of dept. ch; Consent required,,,,,,,,,,,Cons. of dept. ch. Consent required.
CLAS 5931,,,,,,,,,,,,,,,
CMST 2000,,,,,,,,,,,,,,,
CMST 2010,,,,,,,,,,,,,,,
CMST 2300,college_restriction;standing_requirement;other_requirements,Soph. Stndg. and enrolled in College of Business.,,,,Stndg. and enrolled in College of Business,,,,,,,Soph,,Soph. Stndg. and enrolled in College of Business.
CMST 2310,instructor_consent,COMM 1100 or cons. of instr.,,COMM 1100 or cons. of instr,,,,,,,,,,,COMM 1100 or cons. of instr.
CMST 2961,admitted_program,Admitted to the C-Lead program.,,,Admitted to the C-Lead program,,,,,,,,,,Admitted to the C-Lead program.
CMST 3000,,COMM 1000.,,,,,,,,,,,,,
CMST 3120,major_restriction;instructor_consent,"COMM 1000 or HECM minor, or con. of instr.","COMM 1000 or HECM minor, or con. of instr","COMM 1000 or HECM minor, or con. of instr",,,,,,,,,,,"COMM 1000 or HECM minor, or con. of instr."
CMST 3200,major_restriction;instructor_consent,"ADVE, CCOM, CMST, or PURE major or minor; or HECM minor; or cons. of instr.","ADVE, CCOM, CMST, or PURE major or minor; or HECM minor",or cons. of instr,,,,,,,,,,,"ADVE, CCOM, CMST, or PURE major or minor; or HECM minor; or cons. of instr."
CMST 3300,major_restriction;instructor_consent,"ADVE, CCOM, CMST, HECM, FMST or PURE majors and minors; or cons. of instr.","ADVE, CCOM, CMST, HECM, FMST or PURE majors and minors",or cons. of instr,,,,,,,,,,,"ADVE, CCOM, CMST, HECM, FMST or PURE majors and minors; or cons. of instr."
CMST 3964,admitted_program,Enrolled in the C-Lead program.,,,Enrolled in the C-Lead program,,,,,,,,,,Enrolled in the C-Lead program.
CMST 4100,,"Soph. stdng., COMM 1100 and CMST 3120.",,,,,,,,,,,,,
CMST 4120,major_restriction;instructor_consent;standing_requirement;complex_hard_prereq,"COMM 1000 and CMST 3120, Soph. stndg.; or INFS minor; or cons. of instr.",or INFS minor,or cons. of instr,,,,"COMM 1000 and CMST 3120, Soph. stndg",,,,,,"COMM 1000 and CMST 3120, Soph. stndg.; or INFS minor; or cons. of instr.","COMM 1000 and CMST 3120, Soph. stndg.; or INFS minor; or cons. of instr."
CMST 4130,major_restriction;instructor_consent;standing_requirement;complex_hard_prereq,"COMM 1000 and CMST 3120, Soph. stndg.; or INFS minor; or cons. of instr.",or INFS minor,or cons. of instr,,,,"COMM 1000 and CMST 3120, Soph. stndg",,,,,,"COMM 1000 and CMST 3120, Soph. stndg.; or INFS minor; or cons. of instr.","COMM 1000 and CMST 3120, Soph. stndg.; or INFS minor; or cons. of instr."
CMST 4140,major_restriction;instructor_consent;standing_requirement;complex_hard_prereq,COMM 1000 and Soph. stndg.; or INFS minor; or cons. of instr.,or INFS minor,or cons. of instr,,,,COMM 1000 and Soph. stndg,,,,,,COMM 1000 and Soph. stndg.; or INFS minor; or cons. of instr.,COMM 1000 and Soph. stndg.; or INFS minor; or cons. of instr.
