course_code,soft_prereq,catalog_prereq_raw,soft_prereq_major_restriction,soft_prereq_instructor_consent,soft_prereq_admitted_program,soft_prereq_college_restriction,soft_prereq_program_progress_requirement,soft_prereq_standing_requirement,soft_prereq_placement_required,soft_prereq_minimum_grade,soft_prereq_minimum_gpa,soft_prereq_may_be_concurrent,soft_prereq_other_requirements,soft_prereq_complex_hard_prereq,notes
ACCO 5080,admitted_program;instructor_consent,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir.,,or cons. of M.S.A. prog. dir,Admitted to the graduate ACCO or ACAN program,,,,,,,,,,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir.
ACCO 5119,admitted_program;instructor_consent,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir.,,or cons. of M.S.A. prog. dir,Admitted to the graduate ACCO or ACAN program,,,,,,,,,,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir.
ACCO 5931,admitted_program;instructor_consent;other_requirements,"Admitted to ACCO, ACAN, BUAD, ECON or NURS program and ACCO 6200; or cons. of M.B.A. prog. dir. Additional prerequisites vary depending on topic.",,or cons. of M.B.A. prog. dir,"Admitted to ACCO, ACAN, BUAD, ECON or NURS program and ACCO 6200",,,,,,,,Additional prerequisites vary depending on topic,,"Admitted to ACCO, ACAN, BUAD, ECON or NURS program and ACCO 6200; or cons. of M.B.A. prog. dir. Additional prerequisites vary depending on topic."
ACCO 6001,admitted_program;instructor_consent,Admitted to graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir.,,or cons. of M.S.A. prog. dir,Admitted to graduate ACCO or ACAN program,,,,,,,,,,Admitted to graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir.
ACCO 6040,admitted_program;instructor_consent,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir.,,or cons. of M.S.A. prog. dir,Admitted to the graduate ACCO or ACAN program,,,,,,,,,,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir.
ACCO 6045,admitted_program;instructor_consent,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir.,,or cons. of M.S.A. prog. dir,Admitted to the graduate ACCO or ACAN program,,,,,,,,,,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir.
ACCO 6050,admitted_program;instructor_consent,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir.,,or cons. of M.S.A. prog. dir,Admitted to the graduate ACCO or ACAN program,,,,,,,,,,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir.
ACCO 6065,admitted_program;instructor_consent;other_requirements,ACCO 4170 or equiv.; admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir. Consent required.,,or cons. of M.S.A. prog. dir; Consent required,admitted to the graduate ACCO or ACAN program,,,,,,,,ACCO 4170 or equiv,,ACCO 4170 or equiv.; admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir. Consent required.
ACCO 6080,admitted_program;instructor_consent,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir.,,or cons. of M.S.A. prog. dir,Admitted to the graduate ACCO or ACAN program,,,,,,,,,,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir.
ACCO 6119,admitted_program;instructor_consent,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir.,,or cons. of M.S.A. prog. dir,Admitted to the graduate ACCO or ACAN program,,,,,,,,,,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir.
ACCO 6180,admitted_program;instructor_consent,"Admitted to graduate ACCO, ACAN, BUAD, ECON; ACCO 6200 or cons. of M.B.A. prog. dir.",,ACCO 6200 or cons. of M.B.A. prog. dir,"Admitted to graduate ACCO, ACAN, BUAD, ECON",,,,,,,,,,"Admitted to graduate ACCO, ACAN, BUAD, ECON; ACCO 6200 or cons. of M.B.A. prog. dir."
ACCO 6200,admitted_program;instructor_consent,"Admitted to graduate ECON or FINA; or BUAD and MBA 6010, MBA 6040 and MBA 6060; or cons. of M.B.A. prog. dir.",,or cons. of M.B.A. prog. dir,Admitted to graduate ECON or FINA,,,,,,,,,,"Admitted to graduate ECON or FINA; or BUAD and MBA 6010, MBA 6040 and MBA 6060; or cons. of M.B.A. prog. dir."
ACCO 6520,admitted_program;instructor_consent,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir.,,or cons. of M.S.A. prog. dir,Admitted to the graduate ACCO or ACAN program,,,,,,,,,,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir.
ACCO 6525,admitted_program;instructor_consent,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir.,,or cons. of M.S.A. prog. dir,Admitted to the graduate ACCO or ACAN program,,,,,,,,,,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir.
ACCO 6535,admitted_program;instructor_consent,"Admitted to the graduate ACCO or ACAN program; or admitted graduate BUAD, ECON, and ACCO 6200; or cons. of M.S.A. prog. dir.",,or cons. of M.S.A. prog. dir,Admitted to the graduate ACCO or ACAN program,,,,,,,,,,"Admitted to the graduate ACCO or ACAN program; or admitted graduate BUAD, ECON, and ACCO 6200; or cons. of M.S.A. prog. dir."
ACCO 6931,admitted_program;instructor_consent;other_requirements,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir. Prerequisites may vary depending on topic.,,or cons. of M.S.A. prog. dir,Admitted to the graduate ACCO or ACAN program,,,,,,,,Prerequisites may vary depending on topic,,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir. Prerequisites may vary depending on topic.
ACCO 6986,admitted_program;instructor_consent,Admitted to the graduate ACCO or ACAN program; cons. of M.S.A. prog. dir. Consent required.,,cons. of M.S.A. prog. dir; Consent required,Admitted to the graduate ACCO or ACAN program,,,,,,,,,,Admitted to the graduate ACCO or ACAN program; cons. of M.S.A. prog. dir. Consent required.
ACCO 6987,admitted_program;program_progress_requirement;instructor_consent;complex_hard_prereq,Admitted to the graduate ACCO or ACAN program; completed 9 credits in program; cons. of M.S.A. prog. dir. Consent required.,,cons. of M.S.A. prog. dir; Consent required,Admitted to the graduate ACCO or ACAN program,,completed 9 credits in program,,,,,,,Admitted to the graduate ACCO or ACAN program; completed 9 credits in program; cons. of M.S.A. prog. dir. Consent required.,Admitted to the graduate ACCO or ACAN program; completed 9 credits in program; cons. of M.S.A. prog. dir. Consent required.
ACCO 6988,,ACCO 6987.,,,,,,,,,,,,,
ACCO 6995,admitted_program;instructor_consent,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir. Consent required.,,or cons. of M.S.A. prog. dir; Consent required,Admitted to the graduate ACCO or ACAN program,,,,,,,,,,Admitted to the graduate ACCO or ACAN program; or cons. of M.S.A. prog. dir. Consent required.
ACCOI 4931,instructor_consent,ACCO 3001 and cons. of the Office of International Education.,,ACCO 3001 and cons. of the Office of International Education,,,,,,,,,,,ACCO 3001 and cons. of the Office of International Education.
ADPR 2100,major_restriction;instructor_consent,"ADVE, CCOM, DGMD, PURE, or JOUR major or minor; or cons. of instr.","ADVE, CCOM, DGMD, PURE, or JOUR major or minor",or cons. of instr,,,,,,,,,,,"ADVE, CCOM, DGMD, PURE, or JOUR major or minor; or cons. of instr."
ADPR 2200,major_restriction;instructor_consent,"ENGL 1001 or COMM 1100; declared ADVE, CCOM, or PURE majors or minors; or cons. of instr.","declared ADVE, CCOM, or PURE majors or minors",or cons. of instr,,,,,,,,,,,"ENGL 1001 or COMM 1100; declared ADVE, CCOM, or PURE majors or minors; or cons. of instr."
ADPR 3200,major_restriction,"ADPR 2100; ADVE 1400 or PURE 1800; declared ADVE, CCOM or PURE majors and minors.","declared ADVE, CCOM or PURE majors and minors",,,,,,,,,,,,"ADPR 2100; ADVE 1400 or PURE 1800; declared ADVE, CCOM or PURE majors and minors."
ADPR 4300,major_restriction;instructor_consent,"ADVE 1400, CCOM 2000, or PURE 1800; ADVE, CCOM, or PURE majors or minors; or cons. of instr.","ADVE, CCOM, or PURE majors or minors",or cons. of instr,,,,,,,,,,,"ADVE 1400, CCOM 2000, or PURE 1800; ADVE, CCOM, or PURE majors or minors; or cons. of instr."
ADPR 4350,major_restriction;instructor_consent,ADVE 1400 or PURE 1800; ADVE or PURE majors or minors; or cons. of inst.,ADVE or PURE majors or minors,or cons. of inst,,,,,,,,,,,ADVE 1400 or PURE 1800; ADVE or PURE majors or minors; or cons. of inst.
ADPR 4500,major_restriction;instructor_consent,"ADVE 1400 or PURE 1800, declared ADVE or PURE majors and minors; or cons. of instr.","ADVE 1400 or PURE 1800, declared ADVE or PURE majors and minors",or cons. of instr,,,,,,,,,,,"ADVE 1400 or PURE 1800, declared ADVE or PURE majors and minors; or cons. of instr."
ADPR 4600,,ADVE 1400 or PURE 1800.,,,,,,,,,,,,,
ADPR 4750,,ADVE 1400 or PURE 1800.,,,,,,,,,,,,,
ADPR 4850,major_restriction;instructor_consent,ADVE 1400 or PURE 1800; ADVE or PURE majors or minors; or cons. of instr.,ADVE or PURE majors or minors,or cons. of instr,,,,,,,,,,,ADVE 1400 or PURE 1800; ADVE or PURE majors or minors; or cons. of instr.
ADPR 4953,major_restriction;instructor_consent,ADVE 1400 or PURE 1800; or cons. of instr. Restricted to declared ADVE or PURE majors or minors.,Restricted to declared ADVE or PURE majors or minors,or cons. of instr,,,,,,,,,,,ADVE 1400 or PURE 1800; or cons. of instr. Restricted to declared ADVE or PURE majors or minors.
