parent_bucket_id,child_bucket_id,child_bucket_label,requirement_mode,courses_required,credits_required,min_level,notes
MCC_CULM,MCC_CULM,MCC Culminating Course,required,1.0,,,
MCC_FOUNDATION,MCC_ESSV1,MCC Engaging Social Systems and Values 1,required,1.0,,,
MCC_FOUNDATION,MCC_CORE,MCC Core,required,4.0,,,
OSCM_MAJOR,oscm-req-core,OSCM Core Requirements,required,5.0,,,
OSCM_MAJOR,oscm-choose-1,Choose 1,choose_n,1.0,,3000.0,
OSCM_MAJOR,oscm-elec-4,4 Business Electives (12 credits),credits_pool,,12.0,3000.0,Elective pool intentionally unmapped for now.
REAL_MAJOR,real-req-core,Specific Real Estate Course Requirements,required,5.0,,,
REAL_MAJOR,real-choose-1,Choose 1,choose_n,1.0,,3000.0,
REAL_MAJOR,real-biz-elec-12,Four Business Electives (12 credits),credits_pool,,12.0,3000.0,Elective pool intentionally unmapped for now.
REAL_REAP_TRACK,reap-foundation-req,REAP Foundation Required Courses,required,2.0,,,
REAL_REAP_TRACK,reap-model-dev-choose-1,REAP Modeling/Development Choose 1,choose_n,1.0,,3000.0,
REAL_REAP_TRACK,reap-applied-req,REAP Applied Core,required,3.0,,,"Admission criteria, B- minimum, GPA/conduct/process clauses are advisory only (not runtime-enforced)."
REAL_REAP_TRACK,reap-biz-elec-12,Four Business Electives (12 credits),credits_pool,,12.0,3000.0,Elective pool intentionally unmapped for now.
