course_code,course_name,credits,level,active,notes,elective_pool_tag,description
FINA 4081,Investment Banking,3,4000,True,,biz_elective,
FINA 4082,Alternative Investments,3,4000,True,,biz_elective,
FINA 4084,Institutional Investment Consulting,3,4000,True,,biz_elective,
FINA 4085,Sustainable Finance,3,4000,True,,biz_elective,
FINA 4121,Retirement Planning and Employee Benefits,3,4000,True,,biz_elective,
FINA 4122,Estate Planning,3,4000,True,,biz_elective,
FINA 4123,Capstone in Financial Planning,3,4000,True,,biz_elective,
FINA 4191,"Private Equity, Ethics and Society",3,4000,True,,biz_elective,
FINA 4210,Commercial Bank Loan Underwriting,3,4000,True,,biz_elective,
FINA 4211,Bank Risk Management,3,4000,True,,biz_elective,
FINA 4212,Loan Portfolio Management,3,4000,True,,biz_elective,
FINA 4931,Topics in Finance,3,4000,True,,biz_elective,
FINA 4953,Seminar in Finance,3,4000,True,,biz_elective,
FINA 4986,Finance Internship - Grading Period,0,4000,True,S/U grade assessment.,biz_elective,
FINA 4989,Finance Internship Work and Grading Period,0,4000,True,S/U grade assessment.,biz_elective,
FINA 4995,Independent Study in Finance,3,4000,True,,biz_elective,
FINAI 4931,Topics in Finance-International,3,4000,True,Catalog details pending validation.,biz_elective,
HURE 3001,Management of Human Resources,3,3000,True,Marquette Core Curriculum: SSC Basic Needs & Justice,biz_elective,
HURE 4060,People Analytics,3,4000,True,,biz_elective,
HURE 4101,Strategic Human Resource Management,3,4000,True,,biz_elective,
INBUI 4931,Topics in International Business-International,3,4000,True,Catalog details pending validation.,biz_elective,
INSY 3001,Introduction to Information Systems,3,3000,True,,biz_elective,
INSY 3986,Internship Work Period,0,3000,True,S/U grade assessment.,biz_elective,
INSY 4051,Business Applications Development,3,4000,True,,biz_elective,
INSY 4052,Database Management Systems,3,4000,True,,biz_elective,
INSY 4053,Project Management,3,4000,True,,biz_elective,
INSY 4054,Emerging Technologies,3,4000,True,,biz_elective,
INSY 4055,Web-based Applications,3,4000,True,,biz_elective,
INSY 4056,Information Systems Governance,3,4000,True,,biz_elective,
INSY 4156,Privacy and Security,3,4000,True,,biz_elective,
INSY 4158,Systems Analysis and Design,3,4000,True,,biz_elective,
INSY 4931,Topics in Information Systems,3,4000,True,,biz_elective,
INSY 4986,Information Systems Internship - Grading Period,0,4000,True,S/U grade assessment.,biz_elective,
INSY 4989,Information Systems Internship Work and Grading Period,0,4000,True,S/U grade assessment.,biz_elective,
INSY 4995,Independent Study in Information Systems,3,4000,True,,biz_elective,
LEAD 1050,Foundations for Academic and Career Success,0,1000,True,S/U grade assessment.,biz_elective,
LEAD 2000,Career Planning and Application Strategies,3,2000,True,,biz_elective,
LEAD 3000,Strategies for Entering the Business World,3,3000,True,,biz_elective,
MANA 3001,Behavior and Organization,3,3000,True,Marquette Core Curriculum: SSC Individuals & Communities,biz_elective,
MANA 3002,Business and Its Environment,3,3000,True,"Marquette Core Curriculum: SSC Expanding Our Horizons, Writing Intensive",biz_elective,
MANA 3034,Negotiation,3,3000,True,,biz_elective,
MANA 3035,Leading for Inclusion,3,3000,True,Marquette Core Curriculum: Engage Social Systms & Values 2,biz_elective,
MANA 4101,Strategic Management,3,4000,True,,biz_elective,
MARK 3001,Introduction to Marketing,3,3000,True,,biz_elective,
MARK 4040,International Marketing,3,4000,True,Marquette Core Curriculum: SSC Crossing Boundaries,biz_elective,
MARK 4060,Marketing Research,3,4000,True,,biz_elective,
MARK 4065,"Data-Driven Marketing: Analytics, Insights and Applied AI",3,4000,True,,biz_elective,
MARK 4085,Retail and Channel Strategy,3,4000,True,,biz_elective,
MARK 4094,Professional Selling,3,4000,True,,biz_elective,
MATH 1200,Precalculus,3,1000,True,,,
MATH 1400,Elements of Calculus,3,1000,True,,,
MATH 1450,Calculus 1,4,1000,True,,,
OSCM 3001,Operations and Supply Chain Management,3,3000,True,Marquette Core Curriculum: NSM Crossing Boundaries,biz_elective,
OSCM 3986,Internship Work Period,0,3000,True,S/U grade assessment.,biz_elective,
OSCM 4005,Digital Supply Chain Technologies,3,4000,True,,biz_elective,
OSCM 4010,"Manufacturing, Planning and Control",3,4000,True,,biz_elective,
OSCM 4015,Supply Chain Service and Customer Management,3,4000,True,,biz_elective,
OSCM 4020,Quality and Process Management,3,4000,True,,biz_elective,
OSCM 4025,Purchasing and Supply Management,3,4000,True,,biz_elective,
OSCM 4035,Supply Chain Sustainability & Risk Management,3,4000,True,,biz_elective,
OSCM 4040,Global Logistics Management,3,4000,True,,biz_elective,
OSCM 4045,Globalization and Global Operations,3,4000,True,,biz_elective,
OSCM 4057,Enterprise Systems in Supply Chain Management,3,4000,True,,biz_elective,
OSCM 4060,Supply Chain Analytics,3,4000,True,,biz_elective,
OSCM 4065,Artificial Intelligence in Supply Chain,3,4000,True,,biz_elective,
OSCM 4080,Applied Procurement,3,4000,True,,biz_elective,
OSCM 4082,Applied Lean Six Sigma,3,4000,True,,biz_elective,
OSCM 4085,Applied Logistics,3,4000,True,,biz_elective,
OSCM 4931,Topics in Operations and Supply Chain Management,3,4000,True,,biz_elective,
OSCM 4986,Operations and Supply Chain Management Internship - Grading Period,0,4000,True,S/U grade assessment.,biz_elective,
OSCM 4989,Operations & Supply Chain Management Internship Work and Grading Period,0,4000,True,S/U grade assessment.,biz_elective,
OSCM 4995,Independent Study in Operations and Supply Chain Management,3,4000,True,,biz_elective,
OSCM 4997,Capstone in Integrated Supply Chain Strategy,3,4000,True,,biz_elective,
PHIL 4330,Business Ethics,3,4000,True,,,
REAL 3001,Introduction to Commercial Real Estate,3,3000,True,Marquette Core Curriculum: SSC Individuals & Communities,biz_elective,
REAL 4002,Commercial Real Estate Finance,3,4000,True,,biz_elective,
REAL 4061,Real Estate Modeling,3,4000,True,,biz_elective,
REAL 4100,Commercial Real Estate Development,3,4000,True,,biz_elective,
REAL 4210,Real Estate Asset Program - Applied Real Estate Modeling,3,4000,True,,biz_elective,
HURE 3986,Internship Work Period,0,3000,True,S/U grade assessment.,biz_elective,
HURE 3990,Human Resources Internship for Minors - Work Period,0,3000,True,S/U grade assessment.; Not available to students enrolled in the College of Business Administration.,biz_elective,
HURE 4003,Employment Law,3,4000,True,,biz_elective,
HURE 4010,Strategic Compensation and Rewards,3,4000,True,,biz_elective,
HURE 4030,Talent Acquisition & Management,3,4000,True,,biz_elective,
HURE 4080,Talent Development,3,4000,True,,biz_elective,
HURE 4140,International Human Resources Management,3,4000,True,,biz_elective,
HURE 4931,Topics in Human Resources,3,4000,True,,biz_elective,
HURE 4986,Human Resources Internship - Grading Period,0,4000,True,S/U grade assessment.,biz_elective,
HURE 4989,Human Resources Internship Work and Grading Period,0,4000,True,S/U grade assessment.,biz_elective,
HURE 4990,Human Resources Internship for Minors - Grading Period,0,4000,True,S/U grade assessment.; Not available to students enrolled in the College of Business Administration.,biz_elective,
HURE 4991,Human Resources Internship for Minors - Work and Grading Period,0,4000,True,S/U grade assessment.; Not available to students enrolled in the College of Business Administration.,biz_elective,
HURE 4995,Independent Study in Human Resources,3,4000,True,,biz_elective,
MANA 4010,"Leadership, Motivation and Change",3,4000,True,,biz_elective,
CMST 4250,Leadership and Communication,3,4000,True,Placeholder metadata from requirement list; full catalog details pending.,,
ENGL 1001,Foundations in Rhetoric,3,1000,True,,,
PHIL 1001,Foundations in Philosophy,3,1000,True,,,
THEO 1001,Foundations in Theology: Finding God in all Things,3,1000,True,,,
CORE 1929,Foundations in Methods of Inquiry,3,1000,True,,,
ANTH 1001,Being Human,3,1000,True,,,
EDUC 1001,Child and Adolescent Development and Learning,3,1000,True,,,
ENGL 2020,Studies in Culture,3,2000,True,,,
ENGL 2030,Global Literatures,3,2000,True,,,
HEAL 1025,Culture and Health,3,1000,True,,,
HIST 1101,Introduction to American History,3,1000,True,,,
HIST 1130,Latinx History,3,1000,True,,,
HIST 1601,Difference and Democracy,3,1000,True,,,
HIST 1701,Engaging the World,3,1000,True,,,
HOPR 2956H,Honors Engaging Social Systems and Values 1: Engaging the City,3,2000,True,,,
