course_code,hard_prereq,concurrent_with,min_standing
ARSC 1953,none,,0.0
ARSC 1962,PHIL 1001 or THEO 1001,,2.0
ARSC 1963,none,,0.0
ARSC 2000,none,,0.0
ARSC 2931,none,,0.0
ARSC 3370,none,,0.0
ARSC 3986,none,,3.0
ARSC 3987,ARSC 3986,,3.0
ARSC 3989,none,,3.0
ARSC 4931,none,,0.0
ARSC 4952,none,,3.0
ARSC 4953,none,,0.0
ARSC 4987,ARSC 3987,,3.0
ARSC 4988,none,,0.0
ARSC 4989,ARSC 3989,,3.0
ARSC 9007,none,,0.0
ASLA 1001,none,,0.0
ASLA 1002,ASLA 1001,,0.0
ASLA 1003,none,,0.0
ASLA 2001,ASLA 1002,,0.0
ASLA 2002,ASLA 2001,,0.0
ASLA 3200,ASLA 2002,,0.0
ATTR 1100,none,,0.0
ATTR 7110,none,,0.0
ATTR 7115,none,,0.0
ATTR 7120,none,,0.0
ATTR 7122,ATTR 7115,,0.0
ATTR 7135,none,,0.0
ATTR 7230,ATTR 7135 or BISC 7130,,0.0
ATTR 7231,ATTR 7135 or BISC 7130,,0.0
ATTR 7232,ATTR 7135 or BISC 7130,,0.0
ATTR 7260,ATTR 7135 or BISC 7130,,0.0
ATTR 7261,ATTR 7230,,0.0
ATTR 7262,ATTR 7135 or BISC 7130,,0.0
ATTR 7270,ATTR 7115,,0.0
ATTR 7289,EXPH 4189,,0.0
ATTR 7470,ATTR 7115,,0.0
ATTR 7471,ATTR 7135 or BISC 7130,,0.0
ATTR 7480,ATTR 7115,,0.0
ATTR 7570,ATTR 7115;ATTR 7135 or BISC 7130,,0.0
ATTR 7887,none,,0.0
ATTR 7964,none,,0.0
ATTR 7966,ATTR 7964,,0.0
ATTR 7968,ATTR 7964,,0.0
ATTR 7970,ATTR 7964;ATTR 7968,,0.0
ATTR 7972,ATTR 7964;ATTR 7966;ATTR 7968;ATTR 7970,,0.0
ATTR 7974,ATTR 7964;ATTR 7966;ATTR 7968;ATTR 7970;ATTR 7972,,0.0
ATTR 7976,none,ATTR 7997,0.0
ATTR 7995,none,,0.0
ATTR 7997,none,,0.0
BIEN 1100,none,,0.0
BIEN 1110,BIEN 1100;CEEN 1200;EECE 1200;GEEN 1200,,0.0
BIEN 1120,none,BIEN 1100,0.0
BIEN 2100,MATH 1450,,0.0
BIEN 2200,none,,0.0
BIEN 2300,PHYS 1004 or PHYS 1014,,0.0
BIEN 3200,BIEN 1120,,0.0
BIEN 3300,none,,0.0
BIEN 3310,BIEN 3300,,0.0
BIEN 3400,none,,3.0
BIEN 4220,BIEN 2300,,0.0
BIEN 4280,BIEN 2300;BIEN 3300;BIEN 4220,,0.0
BIEN 4290,BIEN 4280,,0.0
BIEN 4320,BIEN 2300 or ELEN 2020,BIEN 3300,0.0
BIEN 4380,EECE 2015;EECE 2035;ELEN 3030,,0.0
BIEN 4390,BIEN 4380;EECE 3015,,0.0
BIEN 4400,PHYS 1003,,3.0
BIEN 4410,none,,4.0
BIEN 4420,MEEN 2460,,0.0
BIEN 4430,none,,3.0
BIEN 4480,BIEN 2300;GEEN 2120;GEEN 2130,,0.0
BIEN 4490,BIEN 4480,,0.0
BIEN 4500,PHYS 1004 or PHYS 1014,,0.0
BIEN 4510,MATH 1450;MATH 1451 or MATH 1455,,0.0
BIEN 4520,PHYS 1004;BIEN 4320,,0.0
BIEN 4600,PHYS 1004 or PHYS 1014,,0.0
BIEN 4610,none,,3.0
BIEN 4620,BIEN 2300,,0.0
BIEN 4700,BIOL 1001,,3.0
BIEN 4710,none,,3.0
BIEN 4720,none,BIEN 4700;BIEN 4400,0.0
BIEN 4920,none,,3.0
BIEN 4931,none,,3.0
BIEN 4995,none,,3.0
BIEN 4998,BIEN 4920,,0.0
BIEN 4999,BIEN 4995,,0.0
BIEN 5220,none,,0.0
BIEN 5320,none,,0.0
BIEN 5400,none,,0.0
BIEN 5410,none,,0.0
BIEN 5420,MEEN 2460,,0.0
BIEN 5430,none,,0.0
BIEN 5500,none,,0.0
BIEN 5510,none,,0.0
BIEN 5520,none,,0.0
BIEN 5600,none,,0.0
BIEN 5610,none,,0.0
BIEN 5620,none,,0.0
BIEN 5700,none,,0.0
BIEN 5710,none,,0.0
BIEN 5720,none,,0.0
BIEN 5931,none,,0.0
BIEN 6120,GEEN 2130,,0.0
BIEN 6121,none,,0.0
BIEN 6200,MATH 2451,,0.0
BIEN 6210,BIEN 6200,,0.0
BIEN 6300,none,,0.0
BIEN 6301,none,,0.0
BIEN 6302,BIEN 6301,,0.0
BIEN 6420,BIEN 5420,,0.0
BIEN 6430,none,,0.0
BIEN 6440,none,,0.0
BIEN 6450,GEEN 2120;GEEN 2130,,0.0
BIEN 6451,BIEN 6450,,0.0
BIEN 6500,none,,0.0
BIEN 6600,none,BIEN 3300,0.0
BIEN 6610,PHYS 1004,BIEN 5700,0.0
BIEN 6620,BIEN 5710;BIEN 5700,,0.0
BIEN 6700,BIEN 5710,,0.0
BIEN 6710,none,,0.0
BIEN 6931,none,,0.0
BIEN 6932,none,,0.0
BIEN 6947,none,,0.0
BIEN 6953,none,,0.0
BIEN 6954,none,,0.0
BIEN 6960,none,,0.0
BIEN 6995,none,,0.0
BIEN 6999,none,,0.0
BIEN 8995,none,,0.0
BIEN 8999,none,,0.0
BIEN 9002,none,,0.0
BIEN 9970,none,,0.0
BIEN 9974,none,,0.0
BIEN 9975,none,,0.0
BIEN 9976,none,,0.0
BIEN 9984,none,,0.0
BIEN 9985,none,,0.0
BIEN 9986,none,,0.0
BIEN 9987,none,,0.0
BIEN 9988,none,,0.0
BIEN 9989,none,,0.0
BIEN 9991,none,,0.0
BIEN 9992,none,,0.0
BIEN 9993,none,,0.0
BIEN 9994,none,,0.0
BIEN 9995,none,,0.0
BIEN 9996,none,,0.0
BIEN 9997,none,,0.0
BIEN 9998,none,,0.0
BIEN 9999,none,,0.0
BIIN 6000,COSC 2100,BIOL 1004;CHEM 2112,0.0
BIIN 6931,none,,0.0
BIIN 6947,none,,0.0
BIIN 6960,none,,0.0
BIIN 6980,BIIN 6000,,0.0
BIIN 6995,none,,0.0
BIIN 6999,none,,0.0
BIMA 6101,none,,0.0
BIMA 6102,none,,0.0
BIMA 6151,none,,0.0
BIMA 6152,none,,0.0
BIMA 6153,none,,0.0
BIMA 6201,none,,0.0
BIMA 6202,none,,0.0
BIMA 6251,none,,0.0
BIMA 6501,none,,0.0
BIMA 6502,none,,0.0
BIMA 6570,none,,0.0
BIMA 6601,none,,0.0
BIMA 6602,none,,0.0
BIMA 6603,none,,0.0
BIMA 6604,none,,0.0
BIMA 6931,none,,0.0
BIMA 6970,none,,0.0
BIMA 6980,none,,0.0
BIMA 6995,none,,0.0
BIMA 6999,none,,0.0
BIMA 9970,none,,0.0
BIMA 9994,none,,0.0
BIMA 9995,none,,0.0
BIMA 9996,none,,0.0
BIOL 1001,none,,0.0
BIOL 1001H,none,,0.0
BIOL 1002,BIOL 1001,,0.0
BIOL 1002H,BIOL 1001 or BIOL 1001H,,0.0
BIOL 1003,none,,0.0
BIOL 1004,none,,0.0
BIOL 1009,none,,0.0
BIOL 1101,BIOL 1001 or BIOL 1001H,,0.0
BIOL 1406,none,,0.0
BIOL 1410,none,,0.0
BIOL 1420,none,,0.0
BIOL 1510,none,,0.0
BIOL 2001,BIOL 1001 or BIOL 1001H,,0.0
BIOL 2953,none,,0.0
BIOL 2954,none,,0.0
BIOL 2954H,none,,0.0
BIOL 3101,none,BIOL 1002 or BIOL 1002H or CHEM 2111 or CHEM 2113,0.0
BIOL 3201,BIOL 1001 or BIOL 1001H,,0.0
BIOL 3301,BIOL 1001 or BIOL 1001H,,0.0
BIOL 3400,BIOL 1002 or BIOL 1002H,,0.0
BIOL 3404,BIOL 1001 or BIOL 1001H;BIOL 1002 or BIOL 1002H,,0.0
BIOL 3986,none,,0.0
BIOL 3986H,none,,0.0
BIOL 3987,none,,0.0
BIOL 3987H,none,,0.0
BIOL 3988H,none,,0.0
BIOL 4102,none,BIOL 3101 or CHEM 4530 or BIOL 4532,0.0
BIOL 4201,BIOL 3201,,0.0
BIOL 4202,none,BIOL 3201,0.0
BIOL 4302,BIOL 3301,,0.0
BIOL 4401,BIOL 3400,,0.0
BIOL 4402,BIOL 3400,,0.0
BIOL 4403,BIOL 3400,,0.0
BIOL 4404,BIOL 3404,,0.0
BIOL 4406,BIOL 1002 or BIOL 1002H,,0.0
BIOL 4410,BIOL 3400,,0.0
BIOL 4501,none,,0.0
BIOL 4502,none,BIOL 4501,0.0
BIOL 4532,BIOL 3301;CHEM 2112 or CHEM 2114;CHEM 4530,,0.0
BIOL 4601,BIOL 3301,,0.0
BIOL 4602,BIOL 1001 or BIOL 1001H;BIOL 1002 or BIOL 1002H,,0.0
BIOL 4701,BIOL 1002 or BIOL 1002H,,0.0
BIOL 4702,none,BIOL 4701,0.0
BIOL 4703,BIOL 4701,,0.0
BIOL 4801,BIOL 1002 or BIOL 1002H,,0.0
BIOL 4802,BIOL 4801,,0.0
BIOL 4806,none,,0.0
BIOL 4931,none,,0.0
BIOL 4931H,none,,0.0
BIOL 4953,none,BIOL 4956 or BIOL 4956H,0.0
BIOL 4956,none,,0.0
BIOL 4956H,none,,0.0
BIOL 4987,none,BIOL 3986 or BIOL 3986H,0.0
BIOL 4987H,none,BIOL 3986 or BIOL 3986H,0.0
BIOL 4995,none,,3.0
BIOL 4995H,none,,3.0
BIOL 5102,BIOL 3101 or CHEM 4530;BIOL 4532,,0.0
BIOL 5201,none,,0.0
BIOL 5401,none,,0.0
BIOL 5403,none,,0.0
BIOL 5404,none,,0.0
BIOL 5410,none,,0.0
BIOL 5501,none,,0.0
BIOL 5532,none,,0.0
BIOL 5703,none,,0.0
BIOL 5802,none,,0.0
BIOL 5806,none,,0.0
BIOL 6001,none,,0.0
BIOL 6096,none,,0.0
BIOL 6097,BIOL 6096,,0.0
BIOL 6952,none,,0.0
BIOL 6995,none,,0.0
BIOL 6999,none,,0.0
BIOL 8004,none,,0.0
BIOL 8005,none,,0.0
BIOL 8007,BIOL 8004,,0.0
BIOL 8101,BIOL 3101,,0.0
BIOL 8102,BIOL 3101,,0.0
BIOL 8110,BIOL 3101,,0.0
BIOL 8201,BIOL 3201;BIOL 3301,,0.0
BIOL 8202,BIOL 3201,,0.0
BIOL 8301,BIOL 2301,,0.0
BIOL 8302,BIOL 3301,,0.0
BIOL 8603,BIOL 3301 or BIOL 4601,,0.0
BIOL 8701,BIOL 4701,,0.0
BIOL 8704,BIOL 2301,,0.0
BIOL 8801,BIOL 3101 or BIOL 4801 or BIOL 8102,,0.0
BIOL 8802,none,,0.0
BIOL 8803,none,,0.0
BIOL 8931,none,,0.0
BIOL 8953,none,,0.0
BIOL 8954,none,,0.0
BIOL 8955,none,,0.0
BIOL 8956,none,,0.0
BIOL 8957,none,,0.0
BIOL 8958,none,,0.0
BIOL 8959,none,,0.0
BIOL 8995,none,,0.0
BIOL 8999,none,,0.0
BIOL 9002H,none,,0.0
BIOL 9970,none,,0.0
BIOL 9974,none,,0.0
BIOL 9975,none,,0.0
BIOL 9976,none,,0.0
BIOL 9984,none,,0.0
BIOL 9985,none,,0.0
BIOL 9986,none,,0.0
BIOL 9987,none,,0.0
BIOL 9988,none,,0.0
BIOL 9989,none,,0.0
BIOL 9995,none,,0.0
BIOL 9996,none,,0.0
BIOL 9998,none,,0.0
BIOL 9999,none,,0.0
BIOLI 4403,BIOL 1001 or BIOL 1001H,,0.0
BISC 1001,none,,1.0
BISC 1015,none,,0.0
BISC 1030,none,,0.0
BISC 1035,BIOL 1001,,0.0
BISC 1060,none,,0.0
BISC 2010,none,,2.0
BISC 2015,none,,0.0
BISC 2016,none,,0.0
BISC 2020,BISC 3135,,0.0
BISC 2050,CHEM 1001;CHEM 1002,,0.0
BISC 2070,none,,0.0
BISC 3110,none,,3.0
BISC 3115,BIOL 1002,,0.0
BISC 3135,BIOL 1001;BIOL 1002,,2.0
BISC 3136,BISC 3135,,0.0
BISC 3150,none,BISC 3135;BISC 4145,0.0
BISC 3213,CHEM 2111 or CHEM 2113,,0.0
BISC 3859,BIOL 1001;BIOL 1002,,0.0
BISC 3929,none,,0.0
BISC 3954,none,,0.0
BISC 3955,none,,0.0
BISC 3956,none,,0.0
BISC 3957,none,,0.0
BISC 3987,none,,0.0
BISC 3989,none,,0.0
BISC 4010,BISC 3850;BISC 4140 or PSYC 3601,,0.0
BISC 4020,BIOL 1001,,2.0
BISC 4112,BISC 3135,,0.0
BISC 4113,BISC 9002,,0.0
BISC 4120,none,,0.0
BISC 4140,BISC 3135,,0.0
BISC 4142,none,,3.0
BISC 4142H,none,,3.0
BISC 4145,BISC 3135,BISC 2070 or BISC 3213,3.0
BISC 4146,BISC 4145,,0.0
BISC 4146H,BISC 4145,,0.0
BISC 4147,none,BISC 4145,0.0
BISC 4150,BISC 3115,,4.0
BISC 4151,BISC 3150,,0.0
BISC 4151H,BISC 3150,,0.0
BISC 4153,MLSC 2060,,3.0
BISC 4155,BISC 3135;BISC 4145,,0.0
BISC 4157,MLSC 2060 or BISC 4153,,3.0
BISC 4160,none,,0.0
BISC 4165,BISC 3115,,0.0
BISC 4170,BISC 3135,,0.0
BISC 4173,BIOL 1002;BISC 3135,,3.0
BISC 4210,BISC 4145,,0.0
BISC 4214,BISC 3213,,0.0
BISC 4214H,BISC 3213,,0.0
BISC 4275,BISC 4145,,0.0
BISC 4325,BISC 4145 or BIOL 4701,,0.0
BISC 4340,BISC 2070;BISC 3213;BIOL 3101 or CHEM 4530,,0.0
BISC 4341,BISC 4340,,0.0
BISC 4341H,BISC 4340,,0.0
BISC 4342,none,,0.0
BISC 4381,none,,3.0
BISC 4460,BISC 4145,,0.0
BISC 4461,none,,3.0
BISC 4514,BIOL 1001;BISC 3135,,0.0
BISC 4850,BIOL 1001,,3.0
BISC 4851,BISC 3850,,0.0
BISC 4851H,BISC 3850,,0.0
BISC 4931,none,,0.0
BISC 4931H,none,,0.0
BISC 4953,none,BISC 3136 or BISC 3112,0.0
BISC 4953H,none,BISC 3136 or BISC 3112,0.0
BISC 4964,BIOL 1001;COSC 1010,,0.0
BISC 4986,none,,0.0
BISC 4987,none,,0.0
BISC 4988,none,,0.0
BISC 4989,none,,0.0
BISC 4991H,none,,0.0
BISC 4995,none,,0.0
BISC 4995H,none,,0.0
BISC 4997H,none,,0.0
BISC 5010,none,,0.0
BISC 5020,none,,0.0
BISC 5112,none,,0.0
BISC 5135,none,,0.0
BISC 5140,none,,0.0
BISC 5145,none,,0.0
BISC 5155,none,,0.0
BISC 5160,none,,0.0
BISC 5170,none,,0.0
BISC 5173,none,,0.0
BISC 5325,none,,0.0
BISC 5340,none,,0.0
BISC 5341,none,,0.0
BISC 5342,none,,0.0
BISC 5850,none,,0.0
BISC 5964,none,,0.0
BISC 6005,none,,0.0
BISC 6006,none,,0.0
BISC 6007,none,,0.0
BISC 6010,none,,0.0
BISC 6030,none,,0.0
BISC 6035,none,,0.0
BISC 6040,none,,0.0
BISC 6041,BISC 6040,,0.0
BISC 6050,none,,0.0
BISC 6060,none,,0.0
BISC 6097,none,,0.0
BISC 6140,none,,0.0
BISC 6931,none,,0.0
BISC 6956,none,,0.0
BISC 6964,none,,0.0
BISC 6995,none,,0.0
BISC 6998,none,,0.0
BISC 7001,none,,0.0
BISC 7002,none,,0.0
BISC 7005,none,,0.0
BISC 7006,none,,0.0
BISC 7007,none,,0.0
BISC 7021,none,,0.0
BISC 7130,none,,0.0
BISC 7150,none,,0.0
BISC 7153,none,,0.0
BISC 7157,none,,0.0
BISC 7160,none,,0.0
BISC 7180,none,,0.0
BISC 7213,none,,0.0
BISC 7215,none,,0.0
BISC 7220,none,,0.0
BISC 7230,none,,0.0
BISC 7235,none,,0.0
BISC 7410,none,,0.0
BISC 7461,none,,0.0
BISC 7514,none,,0.0
BISC 7515,none,,0.0
BISC 7516,none,,0.0
BISC 7517,none,,0.0
BISC 7518,none,,0.0
BISC 7520,none,,0.0
BISC 7550,none,,0.0
BISC 7931,none,,0.0
BISC 7995,none,,0.0
BISC 8003,none,,0.0
BISC 8004,BISC 8003 or NRSC 8003,,0.0
BISC 8005,BISC 8004 or NRSC 8004,,0.0
BISC 8096,none,,0.0
BISC 8101,none,,0.0
BISC 8931,none,,0.0
BISC 8953,none,,0.0
BISC 9002H,none,,0.0
BUAD 1001,none,,0.0
BUAD 1060,none,,0.0
BUAD 1560,MATH 1400 or MATH 1450,,0.0
BUAD 1931,none,,0.0
