course_code,Spring 2025,Summer 2025,Fall 2025
ECON 4008,False,False,False
ECON 4010,True,False,False
ECON 4012,False,False,False
ECON 4016,False,False,True
ECON 4020,False,False,True
ECON 4022,True,False,False
ECON 4025,False,False,True
ECON 4030,True,False,False
ECON 4047,True,False,False
ECON 4065,False,False,False
ECON 4072,False,False,False
ECON 4931,False,False,False
ECON 4986,True,False,True
ECON 4989,True,False,True
ECON 4995,True,False,False
ECONI 3040,True,False,False
ENTP 3986,False,True,False
ENTP 3990,False,True,False
ENTP 4020,False,False,False
ENTP 4041,False,False,False
ENTP 4931,False,False,False
ENTP 4986,True,False,True
ENTP 4989,True,False,True
ENTP 4990,True,False,True
ENTP 4991,True,False,True
ENTP 4995,True,False,False
INBU 2953,False,False,False
INBU 3986,False,True,False
INBU 4141,False,False,False
INBU 4931,False,False,False
INBU 4953,False,False,False
INBU 4986,True,False,True
INBU 4989,True,False,True
INBU 4995,False,False,False
MANA 3020,True,False,True
MANA 4040,False,False,False
MANA 4045,False,False,False
MANA 4100,True,False,False
MANA 4931,False,True,False
MANA 4995,False,False,False
MARK 3986,False,True,False
MARK 4005,False,False,True
MARK 4010,True,True,True
MARK 4020,False,False,True
MARK 4030,False,False,True
MARK 4050,True,False,False
MARK 4070,False,False,False
MARK 4075,True,False,True
MARK 4080,True,False,False
MARK 4090,False,False,False
MARK 4095,False,False,False
MARK 4110,True,False,True
MARK 4191,False,False,True
MARK 4192,True,False,True
MARK 4200,False,False,False
MARK 4931,True,False,False
MARK 4986,True,False,True
MARK 4989,True,False,True
MARK 4995,False,False,False
REAL 3986,False,True,False
REAL 4120,False,False,True
REAL 4220,False,False,True
REAL 4230,True,False,False
REAL 4330,True,False,False
REAL 4931,True,False,False
REAL 4986,True,False,True
REAL 4989,True,False,True
REAL 4995,True,False,False
COMM 1700,True,True,True
COSC 1010,True,True,True
MATH 1410,True,False,False
MATH 1451,True,True,False
MATH 1455,True,True,True
MATH 1700,True,True,True
MATH 2450,False,False,True
MATH 4720,True,True,True
SOCI 2060,True,False,True
SOCI 2060H,False,False,False
SPAN 3001,True,False,True
SPAN 3005,True,False,True
ADPR 4750,True,False,True
ADVE 3986,True,True,True
ANTH 3100,False,False,True
ANTH 3986,True,False,True
ANTH 4986,True,False,False
ARBC 3200,True,False,True
